Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12, C19, C27, C9",0603,5,47n,C1622
C11,0603,1,1u,C15849
"C13, C14, C15, C16",0603,4,10u,C96446
"C17, C18, C26",0603,3,100n,C14663
C20,0603,1,100p,C14858
C21,0603,1,10n,C57112
C22,0603,1,220p,C1603
"C23, C24, C7",0603,3,470n,C1623
C25,0603,1,22n,C21122
"D4, D6, D7",D_SOD-323,3,1N4148WS,C2128
"Q1, Q2, Q3, Q4",SOT-23,4,MMBT5551,C2145
"Q11, Q7, Q9",SOT-23,3,AO3401A,C15127
"Q15, Q16, Q17",SOT-23,3,AO3400A,C20917
"R10, R21, R27, R3, R35, R36, R6",0603,7,100k,C25803
"R11, R13, R16",0603,3,1k,C21190
"R12, R15",0603,2,470k,C23178
"R14, R28, R37, R38",0603,4,2.2k,C4190
"R17, R20, R22, R23, R25, R31",0603,6,10k,C25804
"R19, R32, R33, R34",0603,4,510k,C23192
R24,0603,1,22,C23345
"R29, R30",0603,2,6.8k,C23212
R4,0603,1,4.7k,C23162
R5,0603,1,47k,C25819
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,NE5532,C7426
